,SBER,IMOEX
05.02.20,-0.0121820512645776,-0.00565778293063701
06.02.20,0.00864917222201722,-0.00292676352257537
07.02.20,-0.00805437076902749,-0.0082016186469378
10.02.20,0.00884053433153031,0.0114189737837922
11.02.20,0,0.00793913990979611
12.02.20,-0.00239973364045287,-0.0039214981451785
13.02.20,-0.00846457075145235,-0.00424365016663408
14.02.20,-0.00155035709136087,0.00424686554385545
17.02.20,-0.00863038759401302,-0.0116461081732417
18.02.20,0.00200441037242971,0.0130951905409287
19.02.20,0.00180054064848623,0.00337518169914297
20.02.20,0.0025950708245519,-0.00612089927147608
21.02.20,-0.0226223885626178,-0.0338401601881966
25.02.20,0.0226223885626178,0.00489693840814098
26.02.20,-0.0320883145515012,-0.0342442186683272
27.02.20,-0.0399851686477986,-0.0458813446756494
28.02.20,-0.022491360401987,-0.00695752106255032
02.03.20,0.0364067746294809,0.0199035053643488
03.03.20,-0.00576394899463217,0.00235070151330152
04.03.20,-0.0125750160051314,-0.00400729714549275
05.03.20,-0.0545766840133783,-0.0351142699298217
06.03.20,-0.089282652548234,-0.0845850750599135
10.03.20,-0.0337130454158583,-0.00242797335521061
11.03.20,-0.100613892198912,-0.0864601404120622
12.03.20,0.121320251000259,0.013027094051381
13.03.20,-0.0139436914992324,-0.0215923628525045
16.03.20,-0.0623589561535569,-0.0187732045346758
17.03.20,-0.0543842832857324,-0.0517017046150308
18.03.20,0.0838359729061677,0.0743493471403998
19.03.20,0.0320899808973962,0.0242713186973509
20.03.20,-0.0650258049150416,-0.0341410182712734
23.03.20,0.0493171925593829,0.0696828649678176
24.03.20,-0.0239557578886416,0.0150845186470328
25.03.20,-5.31702778276966e-05,0.015085280787301
26.03.20,-0.0417484972164246,-0.0363395317775241
27.03.20,0.0144204161038592,0.0133377783441073
30.03.20,0.0227448285787553,0.0305396283575474
31.03.20,-0.0130650531775771,-0.014129915041786
01.04.20,0.011675273180523,0.0288252391999038
02.04.20,-0.00703188705014757,0.0102693656560389
03.04.20,0.0268921982333987,0.0193891521483751
06.04.20,0.0356950830459697,0.00462212630026837
07.04.20,0.0133697206607977,0.0133389098242445
08.04.20,0.0164400830706359,0.0117836985607189
09.04.20,-0.00798820815847812,-0.00888914569997912
10.04.20,-0.0186388906205472,-0.0184714798779826
13.04.20,-0.00449916083873525,0.00113293350621824
14.04.20,-0.0589571927664663,-0.0518127797506764
15.04.20,0.0129750598885154,0.00642604210905073
16.04.20,0.0173551555612725,0.0078891185838037
17.04.20,-0.0130144574112911,-0.00355665528038074
20.04.20,-0.0174232502454155,-0.0151379339433797
21.04.20,0.0220606953186584,0.0337446542410609
22.04.20,0.0038830924585973,0.0100526285286824
23.04.20,-0.0106885314011258,-0.0144845831917166
24.04.20,-5.29366612971316e-05,0.00346000882886877
27.04.20,0.0204356076689809,0.0159481689705041
28.04.20,0.0154403479199647,0.0192977869295827
29.04.20,0.00737822962957413,-0.00473493930905278
30.04.20,-0.0182130168718357,-0.00982719464625958
04.05.20,0.00545774189670922,0.0109395481047088
05.05.20,0.0048661896511728,-0.00810128522391906
06.05.20,-0.000971345389631395,0.000721596658796564
07.05.20,0.00260516582863524,0.00286226276103108
08.05.20,-0.0238512158221802,0.000185479948823897
12.05.20,-0.0216004807110526,-0.0141263483982721
13.05.20,-0.0188623829021282,-0.00564743796394485
14.05.20,0.000217592341607897,0.00138883017258351
15.05.20,0.0272563683379454,0.037953482653494
18.05.20,0.000370438974416132,0.00646324741547133
19.05.20,0.0260080459057539,0.0215493581835506
20.05.20,-0.00817852273379049,-0.0189896879592579
21.05.20,-0.0183587637241418,-0.00342296370544126
22.05.20,0.0110556535391657,0.0177605719092275
25.05.20,0.0155847310166983,-0.0014114738091191
26.05.20,0.0229813176287497,-0.00473881062812964
27.05.20,0.0321705024463306,0.0141136195309564
28.05.20,-0.0221957323917845,-0.0163744567111648
29.05.20,0.0156376899968951,0.00561890387681174
01.06.20,0.0401343379284933,0.0166840305738472
02.06.20,0.043836314813178,0.0122860531248179
03.06.20,-0.0386610503806191,-0.0231620369175269
04.06.20,0.0277667074968493,0.00952696538353592
05.06.20,0.0054620072068774,0.00127392199070098
08.06.20,-0.0140335537394591,-0.000143056400229824
09.06.20,-0.0218735451982388,-0.00384155510525019
10.06.20,-0.0198637970021371,-0.0149686823376767
11.06.20,-0.0049558645469574,-0.0090575885666917
15.06.20,0.00212007403298742,0.0106963063638998
16.06.20,0.00182736285522012,-0.00298812262276726
17.06.20,-0.0212190233968679,-0.00577188976016174
18.06.20,0.0157268864525237,0.0125261532034449
19.06.20,-0.00290275965796116,0.00167331928445691
22.06.20,0.00435098583432669,0.0103254410446159
23.06.20,-0.00183477430642043,-0.011245057911621
25.06.20,-0.018387622701578,0.000358533926038795
26.06.20,0.0129602009662131,0.0022460581373176
29.06.20,-0.0126156873422136,-0.00898185184188627
30.06.20,0.0309118163891515,0.016482687838959
02.07.20,0.00642018612346096,0.0046042886481148
03.07.20,0.0172012888630428,0.0118933285740246
06.07.20,-0.0191942666509268,-0.0035227291088864
07.07.20,0.00208778249026764,-0.00332563096347194
08.07.20,-0.00885551397402295,-0.0119324205369038
09.07.20,0.0150457286609855,0.00663042850903128
10.07.20,-0.0184948338766961,-0.0122672716733288
13.07.20,0.00531241527919413,-0.0080743199487614
14.07.20,0.00756084345578678,0.00122713922672002
15.07.20,0.00123094419481973,0.00439368017883002
16.07.20,-0.00255827314058266,0.00534076574827314
17.07.20,0.0145046103051509,0.00984402869254808
20.07.20,0.00856576160514511,0.00834056310286169
